"training/epoch","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_fixedflops_views0_seed42 - _step__MAX"
"43","","","","","","","","","","","","","","","","","","","0.1866461613690518","0.1866461613690518","0.1866461613690518","48","48","48","0.21949115788936616","0.21949115788936616","0.21949115788936616","48","48","48"
"44","","","","","","","","","","","","","","","","","","","0.18890907426914536","0.18890907426914536","0.18890907426914536","49","49","49","0.2209205437898636","0.2209205437898636","0.2209205437898636","49","49","49"
"45","","","","","","","","","","","","","","","","","","","0.18878604579402739","0.18878604579402739","0.18878604579402739","50","50","50","0.21734605395793916","0.21734605395793916","0.21734605395793916","50","50","50"
"46","","","","","","","","","","","","","","","","","","","","","","","","","0.21251957404613495","0.21251957404613495","0.21251957404613495","51","51","51"
"47","","","","","","","","","","","","","","","","","","","","","","","","","0.21455791747570038","0.21455791747570038","0.21455791747570038","52","52","52"
"48","","","","","","","","","","","","","","","","","","","","","","","","","0.21067989778518675","0.21067989778518675","0.21067989778518675","53","53","53"
"49","","","","","","","","","","","","","","","","","","","","","","","","","0.20925396454334258","0.20925396454334258","0.20925396454334258","54","54","54"
"50","","","","","","","","","","","","","","","","","","","","","","","","","0.20825539243221283","0.20825539243221283","0.20825539243221283","55","55","55"
"51","","","","","","","","","","","","","","","","","","","","","","","","","0.2078376441001892","0.2078376441001892","0.2078376441001892","56","56","56"
"52","","","","","","","","","","","","","","","","","","","","","","","","","0.2063587818145752","0.2063587818145752","0.2063587818145752","57","57","57"
"53","","","","","","","","","","","","","","","","","","","","","","","","","0.2033045711517334","0.2033045711517334","0.2033045711517334","58","58","58"
"54","","","","","","","","","","","","","","","","","","","","","","","","","0.2013161587715149","0.2013161587715149","0.2013161587715149","59","59","59"
"55","","","","","","","","","","","","","","","","","","","","","","","","","0.20200404012203216","0.20200404012203216","0.20200404012203216","60","60","60"
"56","","","","","","","","","","","","","","","","","","","","","","","","","0.20303750479221344","0.20303750479221344","0.20303750479221344","61","61","61"
"57","","","","","","","","","","","","","","","","","","","","","","","","","0.19972609150409698","0.19972609150409698","0.19972609150409698","62","62","62"
"58","","","","","","","","","","","","","","","","","","","","","","","","","0.20199905848503114","0.20199905848503114","0.20199905848503114","63","63","63"
"59","","","","","","","","","","","","","","","","","","","","","","","","","0.1980939120054245","0.1980939120054245","0.1980939120054245","64","64","64"
"60","","","","","","","","","","","","","","","","","","","","","","","","","0.19935714972019195","0.19935714972019195","0.19935714972019195","65","65","65"
"61","","","","","","","","","","","","","","","","","","","","","","","","","0.19728624856472016","0.19728624856472016","0.19728624856472016","66","66","66"
"62","","","","","","","","","","","","","","","","","","","","","","","","","0.19627203643321992","0.19627203643321992","0.19627203643321992","67","67","67"
"63","","","","","","","","","","","","","","","","","","","","","","","","","0.19265787637233733","0.19265787637233733","0.19265787637233733","68","68","68"
"64","","","","","","","","","","","","","","","","","","","","","","","","","0.19165213930606842","0.19165213930606842","0.19165213930606842","69","69","69"
"65","","","","","","","","","","","","","","","","","","","","","","","","","0.18902333402633667","0.18902333402633667","0.18902333402633667","70","70","70"
"66","","","","","","","","","","","","","","","","","","","","","","","","","0.1900663524866104","0.1900663524866104","0.1900663524866104","71","71","71"
"67","","","","","","","","","","","","","","","","","","","","","","","","","0.18938363218307494","0.18938363218307494","0.18938363218307494","72","72","72"
"68","","","","","","","","","","","","","","","","","","","","","","","","","0.18632488870620728","0.18632488870620728","0.18632488870620728","73","73","73"
"69","","","","","","","","","","","","","","","","","","","","","","","","","0.18499753308296205","0.18499753308296205","0.18499753308296205","74","74","74"
"70","","","","","","","","","","","","","","","","","","","","","","","","","0.184917356133461","0.184917356133461","0.184917356133461","75","75","75"
"71","","","","","","","","","","","","","","","","","","","","","","","","","0.1856684193611145","0.1856684193611145","0.1856684193611145","76","76","76"
"72","","","","","","","","","","","","","","","","","","","","","","","","","0.18650606966018676","0.18650606966018676","0.18650606966018676","77","77","77"
"73","","","","","","","","","","","","","","","","","","","","","","","","","0.18460592210292817","0.18460592210292817","0.18460592210292817","78","78","78"
"74","","","","","","","","","","","","","","","","","","","","","","","","","0.18141507530212403","0.18141507530212403","0.18141507530212403","79","79","79"
"75","","","","","","","","","","","","","","","","","","","","","","","","","0.1792701903581619","0.1792701903581619","0.1792701903581619","80","80","80"
"76","","","","","","","","","","","","","","","","","","","","","","","","","0.18084206700325012","0.18084206700325012","0.18084206700325012","81","81","81"
"77","","","","","","","","","","","","","","","","","","","","","","","","","0.17905886769294738","0.17905886769294738","0.17905886769294738","82","82","82"
"78","","","","","","","","","","","","","","","","","","","","","","","","","0.17718265116214751","0.17718265116214751","0.17718265116214751","83","83","83"
"79","","","","","","","","","","","","","","","","","","","","","","","","","0.18038926255702972","0.18038926255702972","0.18038926255702972","84","84","84"
"80","","","","","","","","","","","","","","","","","","","","","","","","","0.17819198775291442","0.17819198775291442","0.17819198775291442","85","85","85"
"81","","","","","","","","","","","","","","","","","","","","","","","","","0.17570784330368042","0.17570784330368042","0.17570784330368042","86","86","86"
"82","","","","","","","","","","","","","","","","","","","","","","","","","0.1758334468603134","0.1758334468603134","0.1758334468603134","87","87","87"
"83","","","","","","","","","","","","","","","","","","","","","","","","","0.1743923283815384","0.1743923283815384","0.1743923283815384","88","88","88"
"84","","","","","","","","","","","","","","","","","","","","","","","","","0.1756228041648865","0.1756228041648865","0.1756228041648865","89","89","89"
"85","","","","","","","","","","","","","","","","","","","","","","","","","0.1756754311323166","0.1756754311323166","0.1756754311323166","90","90","90"
"86","","","","","","","","","","","","","","","","","","","","","","","","","0.17735821390151976","0.17735821390151976","0.17735821390151976","91","91","91"
"87","","","","","","","","","","","","","","","","","","","","","","","","","0.1748546186685562","0.1748546186685562","0.1748546186685562","92","92","92"
"88","","","","","","","","","","","","","","","","","","","","","","","","","0.1747967553138733","0.1747967553138733","0.1747967553138733","93","93","93"
"89","","","","","","","","","","","","","","","","","","","","","","","","","0.17519807159900666","0.17519807159900666","0.17519807159900666","94","94","94"
"90","","","","","","","","","","","","","","","","","","","","","","","","","0.17527405542135238","0.17527405542135238","0.17527405542135238","95","95","95"
